KICID|Teff|Teff_err|logg|logg_err|FeH|FeH_err|M_noCorrection|err|R_noCorrection|err|M_RGB|err|R_RGB|err|M_Clump|err|R_Clump|err|EvoPhase|
2011314|4819|146|2.401|0.012|0.11|0.30|1.16|0.11|11.27|0.40|1.12|0.11|11.05|0.39|1.17|0.11|11.30|0.40|2|
2011582|4684|80|2.504|0.015|0.03|0.30|2.34|0.26|14.18|0.57|2.19|0.25|13.71|0.55|2.36|0.27|14.25|0.58|2|
2011675|4785|145|2.423|0.022|-0.04|0.30|1.06|0.17|10.48|0.57|1.00|0.16|10.16|0.55|1.07|0.17|10.51|0.57|2|
2011827|4906|148|2.383|0.011|-0.62|0.30|0.94|0.09|10.33|0.43|0.85|0.08|9.83|0.40|0.94|0.09|10.33|0.43|2|
2011883|4466|135|1.721|0.025|-0.65|0.30|1.07|0.23|23.58|2.05|0.90|0.19|21.62|1.84|1.01|0.22|22.94|1.98|0|
2011891|4714|80|2.958|0.006|0.30|0.15|1.37|0.07|6.42|0.11|1.28|0.06|6.23|0.11|1.37|0.07|6.44|0.11|1|
2012065|4872|157|2.533|0.010|-1.04|0.30|1.24|0.09|9.97|0.25|1.04|0.07|9.14|0.23|1.20|0.09|9.83|0.25|1|
2012216|4858|80|2.861|0.006|-0.14|0.15|1.45|0.07|7.40|0.13|1.35|0.07|7.13|0.13|1.47|0.07|7.46|0.14|1|
2012932|4837|148|2.431|0.023|-0.24|0.30|1.28|0.21|11.43|0.66|1.17|0.20|10.93|0.63|1.29|0.22|11.47|0.66|2|
2013502|4930|100|2.702|0.009|0.05|0.15|2.01|0.15|10.45|0.28|1.93|0.14|10.25|0.28|2.06|0.15|10.58|0.29|2|
2013530|4759|144|2.512|0.012|-0.28|0.30|1.45|0.13|11.07|0.34|1.29|0.11|10.45|0.32|1.44|0.13|11.04|0.34|2|
2014377|4734|137|2.496|0.016|-0.23|0.30|1.85|0.21|12.74|0.50|1.67|0.19|12.08|0.48|1.85|0.21|12.72|0.50|2|
2014684|4314|80|1.655|0.015|-0.29|0.15|0.95|0.11|24.05|1.11|0.80|0.09|21.99|1.00|0.92|0.11|23.62|1.09|1|
2015820|4831|80|2.567|0.010|0.06|0.15|1.77|0.13|11.47|0.30|1.66|0.12|11.12|0.29|1.81|0.13|11.60|0.30|2|
2016676|4978|80|2.826|0.008|0.08|0.15|2.07|0.13|9.21|0.23|2.02|0.13|9.11|0.22|2.12|0.14|9.33|0.23|2|
2016706|4801|80|2.492|0.008|0.01|0.15|1.34|0.09|10.89|0.29|1.25|0.08|10.52|0.27|1.36|0.09|10.96|0.29|2|
2016978|4744|80|2.785|0.006|0.08|0.15|1.35|0.07|7.81|0.15|1.25|0.06|7.51|0.14|1.37|0.07|7.85|0.15|1|
2017541|4242|80|1.859|0.016|0.08|0.15|1.42|0.18|23.22|1.12|1.24|0.16|21.73|1.03|1.39|0.18|22.98|1.11|1|
2018007|4753|151|2.441|0.011|0.44|0.30|1.43|0.14|11.90|0.45|1.39|0.13|11.73|0.45|1.45|0.14|12.01|0.46|2|
2018283|4804|80|3.041|0.007|0.27|0.15|1.38|0.07|5.86|0.11|1.32|0.07|5.74|0.11|1.39|0.07|5.88|0.11|1|
2018392|4908|100|2.443|0.009|-0.12|0.15|1.66|0.12|12.82|0.32|1.56|0.11|12.43|0.31|1.70|0.12|12.96|0.32|1|
2018537|4849|80|3.171|0.006|0.28|0.15|1.44|0.07|5.16|0.09|1.40|0.07|5.08|0.09|1.46|0.07|5.19|0.09|1|
2018585|5068|157|2.857|0.009|-0.17|0.30|1.23|0.08|6.85|0.15|1.23|0.08|6.85|0.15|1.24|0.08|6.89|0.16|1|
2018642|4735|146|2.452|0.010|0.32|0.30|1.42|0.14|11.72|0.51|1.34|0.14|11.39|0.49|1.43|0.15|11.76|0.51|2|
2018667|4784|141|2.384|0.017|-0.17|0.30|1.03|0.13|10.79|0.51|0.94|0.12|10.34|0.49|1.03|0.13|10.80|0.51|2|
2019109|4773|144|2.395|0.025|-0.11|0.30|1.24|0.24|11.69|0.83|1.13|0.22|11.17|0.79|1.24|0.24|11.71|0.83|2|
2019258|4468|134|2.125|0.012|-0.58|0.30|1.78|0.25|19.13|1.18|1.61|0.22|18.20|1.10|1.74|0.24|18.89|1.16|0|
2019396|4780|143|2.477|0.013|-0.50|0.30|1.44|0.17|11.46|0.55|1.26|0.15|10.73|0.51|1.41|0.17|11.34|0.54|2|
2019959|4775|149|2.401|0.010|-0.41|0.30|1.42|0.11|12.45|0.34|1.25|0.09|11.69|0.32|1.40|0.11|12.35|0.34|1|
2020280|5164|175|2.780|0.012|-0.25|0.30|1.87|0.16|9.23|0.28|1.85|0.16|9.19|0.28|1.93|0.17|9.37|0.29|2|
