# dnu numax eps d02 alpha env_height env_width mode_width teff bp_rp logL logPrior
1.231222522134613140e+00 2.347911612212339794e+00 1.318955711367626460e+00 3.439327597478898380e-01 -2.139618541777498439e+00 1.355790633398830769e+00 1.344136689957159625e+00 -6.682073387880297366e-01 3.701718768586820474e+00 1.172587572399301559e+00 -1.724555907407110453e+03 -5.759313292786758076e+00
1.230568466202073052e+00 2.346334231805610404e+00 1.337046551744682565e+00 3.425358900783467275e-01 -2.254183764714243754e+00 1.288602789976541318e+00 1.346361286572312244e+00 -7.127887208448239198e-01 3.693373512344320542e+00 1.255574522222330236e+00 -1.724435000395522820e+03 -5.414197484918305214e+00
1.229595105242842212e+00 2.347088275066459229e+00 1.364717026663392341e+00 3.558511626467597555e-01 -2.214897195690683773e+00 1.293855232424919732e+00 1.369219655280827119e+00 -7.394459529838643963e-01 3.694174660040945746e+00 1.162688234689824629e+00 -1.724355570929773876e+03 -7.380672775282491216e+00
1.231021631100509772e+00 2.347538060701052753e+00 1.326880044294716399e+00 3.578131438942654396e-01 -2.387978519761905893e+00 1.342224814533402144e+00 1.343586678385380484e+00 -6.368013536957050080e-01 3.700388208030386483e+00 1.214137608622338327e+00 -1.724351945068871373e+03 -8.808506810751056904e+00
1.230782270898434172e+00 2.350835942991088334e+00 1.330587635663079915e+00 3.320145496621363934e-01 -2.236697477341670570e+00 1.409260609217436011e+00 1.295691478716485712e+00 -6.816230892321082369e-01 3.697526916172873879e+00 1.237720217810505785e+00 -1.724340544745403349e+03 -6.709352311164525240e+00
1.230667462151749714e+00 2.350829165487714256e+00 1.335327920794924905e+00 3.325868526123783031e-01 -2.195257717009934328e+00 1.352135618136665274e+00 1.367473565972813887e+00 -6.963697029604258848e-01 3.697147689463101905e+00 1.185054080402810017e+00 -1.724298065509363141e+03 -4.670981770536866584e+00
1.230261864245361769e+00 2.351451696435805871e+00 1.344781530961749461e+00 3.432070862016284307e-01 -2.241775040748317238e+00 1.381524002851644894e+00 1.354998526099348233e+00 -7.102476803425834539e-01 3.702124583013592485e+00 1.138644873040738359e+00 -1.724284606882567914e+03 -4.996463526498747143e+00
1.229813677234071978e+00 2.347448051676575886e+00 1.357541340355713499e+00 3.481558943699094022e-01 -2.146060563339101890e+00 1.243998052142357258e+00 1.376303884622439133e+00 -6.841796705307190418e-01 3.698197557033048977e+00 1.131488756580110167e+00 -1.724281884607937627e+03 -5.229434127319507297e+00
1.230607983807805450e+00 2.352330665306863189e+00 1.337938491057948376e+00 3.591613268116690127e-01 -2.219149542893866123e+00 1.411114876328988910e+00 1.333877056930733884e+00 -7.790617904538099658e-01 3.697583008925592996e+00 1.206384387135911673e+00 -1.724275114419524243e+03 -7.357782956125360485e+00
1.230195142574472600e+00 2.346051252675449561e+00 1.347125660325048990e+00 3.526510744831150013e-01 -2.233598572161242579e+00 1.336754488925586237e+00 1.317621806994270450e+00 -6.861879782107939141e-01 3.700078184202719278e+00 1.143872151710921159e+00 -1.724243494485427846e+03 -5.920397057618475678e+00
1.230523248173879258e+00 2.350706009019580378e+00 1.339861742891352403e+00 3.398446586408224723e-01 -2.244322473941399387e+00 1.386172873995406896e+00 1.368287920235350619e+00 -7.191840939270870425e-01 3.701489999340920267e+00 1.138341957134192395e+00 -1.724235790344519501e+03 -4.966794432669129122e+00
1.230014567391125357e+00 2.346166940831448944e+00 1.354863931754719530e+00 3.437680493508395996e-01 -2.259439625805327534e+00 1.291297197450719025e+00 1.320360675631329972e+00 -7.011163770756152491e-01 3.698772876320933101e+00 1.240137504988990891e+00 -1.724212265063541963e+03 -5.065643918249484123e+00
